group,variable,value
France,Central African Republic,1.688
France,"Macedonia, FYR",0.047
France,Guinea-Bissau,0.236
France,Guyana,0.083
France,Tajikistan,0.051
France,Eritrea,0.045
France,Croatia,0.050
France,Moldova,0.172
France,Djibouti,1.120
France,Bhutan,0.003
France,Swaziland,0.010
France,Uruguay,0.111
France,Gambia,0.109
France,Samoa,0.004
France,Belize,0.001
France,Turkmenistan,0.007
France,Comoros,0.700
France,Libya,0.096
France,Belarus,0.059
France,Maldives,0.046
United Kingdom,Indonesia,2.661
United Kingdom,India,19.922
United Kingdom,Egypt,0.812
United Kingdom,China,2.972
United Kingdom,Iraq,3.079
United Kingdom,Pakistan,5.437
United Kingdom,Philippines,0.493
United Kingdom,Bangladesh,7.702
United Kingdom,Afghanistan,3.163
United Kingdom,Viet Nam,1.145
United Kingdom,Russia,0.795
United Kingdom,Tanzania,5.680
United Kingdom,Thailand,0.434
United Kingdom,Mozambique,2.707
United Kingdom,Turkey,0.977
United Kingdom,Nigeria,8.590
United Kingdom,Kenya,3.965
United Kingdom,Brazil,0.713
United Kingdom,Morocco,0.115
United Kingdom,"Congo, Democratic Republic of",1.931
United Kingdom,Mexico,0.717
United Kingdom,Ethiopia,3.003
United Kingdom,Sri Lanka,1.804
United Kingdom,Sudan,2.716
United Kingdom,Peru,0.371
United Kingdom,Papua New Guinea,0.340
United Kingdom,Zambia,3.527
United Kingdom,Ghana,6.852
United Kingdom,Jordan,0.589
United Kingdom,Colombia,0.215
United Kingdom,Poland,0.209
United Kingdom,Tunisia,0.062
United Kingdom,Cameroon,0.688
United Kingdom,Cote d`Ivoire,0.487
United Kingdom,Uganda,4.341
United Kingdom,Bolivia,0.507
United Kingdom,Malaysia,0.712
United Kingdom,Senegal,0.183
United Kingdom,Palestinian Adm. Areas,0.585
United Kingdom,Nicaragua,0.158
United Kingdom,South Africa,1.862
United Kingdom,Algeria,0.026
United Kingdom,Myanmar,0.543
United Kingdom,Mali,0.154
United Kingdom,Serbia,1.312
United Kingdom,Argentina,0.050
United Kingdom,Haiti,0.098
United Kingdom,Zimbabwe,2.294
United Kingdom,Nepal,2.009
United Kingdom,Burkina Faso,0.047
United Kingdom,Honduras,0.324
United Kingdom,El Salvador,0.096
United Kingdom,Malawi,3.359
United Kingdom,Madagascar,0.169
United Kingdom,Yemen,0.557
United Kingdom,Cambodia,0.473
United Kingdom,Somalia,0.685
United Kingdom,Venezuela,0.012
United Kingdom,Guatemala,0.208
United Kingdom,Angola,0.221
United Kingdom,Rwanda,1.320
United Kingdom,Syria,0.293
United Kingdom,Niger,0.098
United Kingdom,Bosnia-Herzegovina,0.123
United Kingdom,Lebanon,0.073
United Kingdom,"Congo, Republic of",0.130
United Kingdom,Ukraine,0.218
United Kingdom,Ecuador,0.237
United Kingdom,Jamaica,0.671
United Kingdom,Benin,0.064
United Kingdom,Dominican Republic,0.301
United Kingdom,Liberia,0.305
United Kingdom,Guinea,0.029
United Kingdom,Chile,0.030
United Kingdom,Laos,0.055
United Kingdom,Costa Rica,0.457
United Kingdom,Uzbekistan,0.021
United Kingdom,Iran,0.019
United Kingdom,Georgia,0.110
United Kingdom,Sierra Leone,1.394
United Kingdom,Chad,0.058
United Kingdom,Burundi,0.172
United Kingdom,Mauritania,0.081
United Kingdom,Albania,0.112
United Kingdom,Botswana,0.376
United Kingdom,Togo,0.039
United Kingdom,Mongolia,0.027
United Kingdom,Namibia,0.104
United Kingdom,Gabon,0.000
United Kingdom,Cape Verde,0.012
United Kingdom,Timor-Leste,0.095
United Kingdom,South Sudan,0.442
United Kingdom,Solomon Islands,0.541
United Kingdom,Kazakhstan,0.058
United Kingdom,Armenia,0.089
United Kingdom,Paraguay,0.022
United Kingdom,Panama,0.002
